California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 95661,"29,791","14,092","15,699",40.3,38.4,41.8,2.51,3.04,"1,671","6,976","21,661","8,373","6,312","4,501",52.7%,23.4%,
ZCTA5 95662,"31,558","15,585","15,973",40.7,39.3,42.3,2.63,3.07,"1,661","7,194","23,163","8,673","6,236","4,217",50.6%,22.8%,
ZCTA5 95663,"2,377","1,170","1,207",46.9,46.9,46.9,2.71,3.07,93,513,"1,781",809,588,389,50.8%,21.6%,
ZCTA5 95664,"1,380",715,665,48.3,48.6,47.8,2.49,3,54,279,"1,052",470,336,206,48.2%,20.2%,
ZCTA5 95665,"4,426","2,242","2,184",51.2,49.9,52.7,2.32,2.71,162,772,"3,474","1,931","1,480","1,044",49.3%,17.4%,
ZCTA5 95666,"5,336","2,695","2,641",54.4,54.2,54.7,2.19,2.59,175,799,"4,412","2,611","2,051","1,454",49.5%,15.0%,
ZCTA5 95667,"36,726","17,909","18,817",47.7,46.4,48.6,2.43,2.89,"1,712","7,252","28,186","13,462","10,198","7,100",51.2%,19.7%,
ZCTA5 95668,815,440,375,42,41,42.8,2.78,3.23,42,196,587,251,177,133,46.0%,24.0%,
ZCTA5 95669,"2,443","1,184","1,259",47.7,47.7,47.7,2.44,2.93,124,495,"1,876",927,711,490,51.5%,20.3%,
ZCTA5 95670,"52,973","25,694","27,279",35.8,34.3,37.2,2.63,3.18,"3,829","13,212","37,629","12,716","9,396","6,691",51.5%,24.9%,
ZCTA5 95672,"4,773","2,413","2,360",45.3,44.3,46.2,2.79,3.07,233,"1,150","3,446","1,485","1,042",665,49.4%,24.1%,
ZCTA5 95673,"15,455","7,781","7,674",35.9,34.4,37.3,3.15,3.51,"1,039","4,181","10,538","3,475","2,468","1,599",49.7%,27.1%,
ZCTA5 95674,935,479,456,42.5,41.3,43.6,2.92,3.36,55,217,684,275,190,140,48.8%,23.2%,
ZCTA5 95675,381,174,207,45.8,46.7,43.8,2.41,2.93,22,81,283,115,71,47,54.3%,21.3%,
ZCTA5 95677,"23,333","11,364","11,969",39.2,37.4,40.7,2.54,3,"1,405","5,420","16,751","6,118","4,487","3,113",51.3%,23.2%,
ZCTA5 95678,"41,192","20,063","21,129",33.8,32.7,34.8,2.58,3.16,"3,016","10,597","28,995","8,019","5,803","4,060",51.3%,25.7%,
ZCTA5 95679,55,28,27,47.1,47.3,44.8,2.04,2.5,1,7,47,22,12,10,49.1%,12.7%,
ZCTA5 95680,146,77,69,33.7,29.8,35.8,3.17,3.67,14,52,92,37,24,16,47.3%,35.6%,
ZCTA5 95681,"1,226",617,609,40.4,39,41.4,3.02,3.33,67,302,856,322,218,146,49.7%,24.6%,
ZCTA5 95682,"29,114","14,249","14,865",43.1,42,44,2.64,3,"1,632","7,000","21,021","8,681","6,285","4,337",51.1%,24.0%,
ZCTA5 95683,"6,180","3,047","3,133",49.4,48.3,50.5,2.43,2.76,287,"1,339","4,700","2,537","2,026","1,401",50.7%,21.7%,
ZCTA5 95684,"3,422","1,743","1,679",50.8,50.3,51.2,2.38,2.79,109,554,"2,746","1,378",972,608,49.1%,16.2%,
ZCTA5 95685,"4,680","2,236","2,444",51.2,50.1,52.3,2.24,2.76,179,813,"3,717","2,072","1,661","1,202",52.2%,17.4%,
ZCTA5 95686,"1,405",699,706,32.7,32.2,33.2,3.20,3.86,116,441,893,304,229,157,50.2%,31.4%,
ZCTA5 95687,"65,096","35,533","29,563",37.9,37.7,38.1,2.68,3.2,"3,610","14,311","48,104","14,341","10,166","6,835",45.4%,22.0%,
ZCTA5 95688,"34,379","16,980","17,399",37.9,36.8,39,2.80,3.16,"2,209","8,676","24,391","8,366","5,996","3,932",50.6%,25.2%,
ZCTA5 95689,"1,244",617,627,58.3,58.8,58.1,2.11,2.4,22,119,"1,105",726,543,371,50.4%,9.6%,
ZCTA5 95690,"2,533","1,353","1,180",39,38.4,40,2.70,3.37,167,627,"1,793",713,536,369,46.6%,24.8%,
ZCTA5 95691,"34,737","17,068","17,669",33.8,33.2,34.4,2.74,3.3,"2,959","9,206","24,335","6,734","4,750","3,193",50.9%,26.5%,
ZCTA5 95692,"4,769","2,324","2,445",35.5,34.6,36.4,2.85,3.26,346,"1,345","3,231","1,038",758,552,51.3%,28.2%,
ZCTA5 95693,"6,758","3,371","3,387",45.1,44.9,45.2,2.87,3.19,330,"1,573","4,913","2,107","1,538","1,012",50.1%,23.3%,
ZCTA5 95694,"9,156","4,650","4,506",37.7,36.7,38.8,2.96,3.34,553,"2,308","6,390","2,103","1,446",961,49.2%,25.2%,
ZCTA5 95695,"37,946","18,579","19,367",37.1,35,39,2.71,3.24,"2,718","9,497","26,951","9,815","7,272","5,161",51.0%,25.0%,
ZCTA5 95697,425,202,223,36.5,39.4,33.1,3.04,3.48,25,127,281,95,58,38,52.5%,29.9%,
ZCTA5 95698,236,120,116,45.5,47,43,2.59,2.99,9,50,181,79,57,37,49.2%,21.2%,
ZCTA5 95699,154,81,73,50.3,48.3,53.5,2.26,2.66,1,29,119,68,51,29,47.4%,18.8%,
ZCTA5 95701,983,524,459,49.6,48.6,50.2,2.39,2.8,45,190,767,361,226,135,46.7%,19.3%,
ZCTA5 95703,897,473,424,48,48.2,47.9,2.36,2.74,45,182,675,329,236,139,47.3%,20.3%,
ZCTA5 95709,"4,772","2,394","2,378",48,47.7,48.3,2.48,2.89,237,992,"3,640","1,781","1,365",997,49.8%,20.8%,
ZCTA5 95713,"9,495","4,778","4,717",46,45.3,46.8,2.46,2.9,436,"2,009","7,134","3,162","2,250","1,471",49.7%,21.2%,
ZCTA5 95714,382,209,173,52.6,54.5,50.6,2.13,2.69,9,56,311,174,127,90,45.3%,14.7%,
ZCTA5 95715,115,65,50,47.4,47.8,46,2.21,3,3,21,92,33,14,10,43.5%,18.3%,
ZCTA5 95717,231,120,111,53.6,53.3,54.1,2.04,2.71,13,28,197,106,80,52,48.1%,12.1%,
ZCTA5 95720,157,77,80,53.4,52.4,54.5,2.07,2.77,6,23,131,69,48,25,51.0%,14.6%,
ZCTA5 95721,37,22,15,53.5,52.5,55.5,1.48,2,0,1,36,15,14,10,40.5%,2.7%,
ZCTA5 95722,"4,585","2,304","2,281",49.5,49.1,49.8,2.54,2.85,144,887,"3,546","1,761","1,300",869,49.7%,19.3%,
ZCTA5 95724,27,22,5,28.1,28,29.5,1.57,3,1,1,23,4,2,1,18.5%,3.7%,
ZCTA5 95726,"8,842","4,473","4,369",46.5,46.2,46.9,2.42,2.84,465,"1,823","6,764","2,986","2,175","1,486",49.4%,20.6%,
ZCTA5 95728,386,231,155,47,45.9,48.9,1.96,2.53,14,47,336,134,92,58,40.2%,12.2%,
ZCTA5 95735,68,40,28,52.5,53,52,2.00,2.53,5,9,58,31,23,11,41.2%,13.2%,
ZCTA5 95736,240,129,111,29.7,27.4,33.3,2.25,2.95,8,36,167,37,24,17,46.3%,15.0%,
ZCTA5 95742,"7,749","3,903","3,846",31.3,31.4,31.2,3.17,3.46,955,"2,318","5,241",937,608,349,49.6%,29.9%,
ZCTA5 95746,"21,460","10,625","10,835",45.4,45.2,45.5,2.86,3.14,789,"5,730","14,946","6,271","4,411","2,910",50.5%,26.7%,
ZCTA5 95747,"51,870","24,765","27,105",37.8,36.6,38.7,2.74,3.2,"3,666","14,546","35,689","12,641","10,124","7,875",52.3%,28.0%,
ZCTA5 95757,"40,222","20,292","19,930",32.2,31,33.2,3.46,3.77,"3,515","12,990","25,722","5,566","3,868","2,567",49.5%,32.3%,
ZCTA5 95758,"60,435","28,882","31,553",34.4,32.4,35.8,2.98,3.4,"4,268","17,473","40,491","10,898","7,475","4,940",52.2%,28.9%,
ZCTA5 95762,"38,797","19,120","19,677",40.4,40.1,40.6,2.93,3.21,"2,249","11,525","26,047","8,846","6,244","4,074",50.7%,29.7%,
ZCTA5 95765,"33,974","16,403","17,571",35.3,33.8,36.3,2.84,3.31,"2,200","10,277","22,257","5,921","4,401","3,182",51.7%,30.2%,
ZCTA5 95776,"21,902","10,995","10,907",30.4,29.4,31.3,3.31,3.68,"1,888","6,740","14,104","3,274","2,232","1,441",49.8%,30.8%,
ZCTA5 95811,"7,595","4,265","3,330",35.1,37.5,32,1.63,2.71,238,740,"6,669","1,314",820,473,43.8%,9.7%,
ZCTA5 95814,"9,922","6,209","3,713",36.8,36.2,38.2,1.42,2.51,158,484,"9,093","2,595","1,924","1,421",37.4%,4.9%,
ZCTA5 95815,"24,680","12,454","12,226",31.1,31.2,31,2.79,3.58,"2,183","6,793","16,707","4,572","3,165","2,114",49.5%,27.5%,
ZCTA5 95816,"15,579","7,617","7,962",35,35.4,34.4,1.66,2.59,508,"1,450","13,840","3,489","2,472","1,613",51.1%,9.3%,
ZCTA5 95817,"13,534","6,326","7,208",33.4,32.8,34,2.28,3.14,898,"2,784","10,093","2,850","2,059","1,442",53.3%,20.6%,
ZCTA5 95818,"19,811","9,274","10,537",39.9,39.4,40.4,2.10,2.8,"1,288","3,933","15,394","5,436","3,866","2,512",53.2%,19.9%,
ZCTA5 95819,"17,141","7,978","9,163",39.5,38.6,40.2,2.07,2.73,908,"2,789","12,785","4,878","3,585","2,402",53.5%,16.3%,
ZCTA5 95820,"34,480","16,751","17,729",33,32.1,34,2.87,3.53,"2,758","9,419","23,508","7,090","5,072","3,523",51.4%,27.3%,
ZCTA5 95821,"33,550","15,986","17,564",39.7,38,41.3,2.30,2.98,"2,222","7,295","25,086","9,417","7,044","4,990",52.4%,21.7%,
ZCTA5 95822,"42,347","20,298","22,049",37.1,35,39.1,2.75,3.4,"2,970","10,803","29,736","11,652","8,944","6,669",52.1%,25.5%,
ZCTA5 95823,"73,985","35,609","38,376",29.1,27.9,30.2,3.27,3.77,"6,822","23,308","46,772","12,961","9,427","6,562",51.9%,31.5%,
ZCTA5 95824,"30,221","15,263","14,958",29.1,28.3,30,3.44,3.95,"2,776","9,457","19,189","5,214","3,717","2,627",49.5%,31.3%,
ZCTA5 95825,"31,084","14,675","16,409",32.5,31.4,33.9,2.03,2.92,"2,113","5,604","23,969","7,497","5,860","4,448",52.8%,18.0%,
ZCTA5 95826,"36,628","17,816","18,812",33.5,31.9,35,2.42,3,"2,320","7,424","27,036","8,607","6,395","4,487",51.4%,20.3%,
ZCTA5 95827,"20,269","10,031","10,238",34.6,32.9,36.6,2.72,3.26,"1,378","5,121","14,272","4,541","3,229","2,165",50.5%,25.3%,
ZCTA5 95828,"57,862","28,518","29,344",32,30.3,33.8,3.35,3.78,"4,406","16,674","38,195","12,009","8,778","6,109",50.7%,28.8%,
ZCTA5 95829,"24,755","12,174","12,581",33.8,32.2,35,3.34,3.62,"1,756","7,502","16,063","4,201","2,793","1,796",50.8%,30.3%,
ZCTA5 95830,934,491,443,41.9,41,42.9,3.19,3.49,42,227,666,257,194,127,47.4%,24.3%,
ZCTA5 95831,"41,321","19,420","21,901",44.6,42.3,46.4,2.28,2.84,"2,121","7,997","31,983","14,071","10,493","7,368",53.0%,19.4%,
ZCTA5 95832,"11,924","5,763","6,161",25,23.8,26.2,3.95,4.29,"1,157","4,193","6,855","1,712","1,238",854,51.7%,35.2%,
ZCTA5 95833,"37,293","18,190","19,103",31,30.3,31.8,2.66,3.3,"2,991","9,595","25,860","6,103","3,947","2,451",51.2%,25.7%,
ZCTA5 95834,"25,899","12,538","13,361",29.1,28.7,29.5,2.75,3.4,"2,478","7,166","17,380","3,481","2,297","1,428",51.6%,27.7%,
ZCTA5 95835,"35,936","17,389","18,547",32.6,32.1,33.1,2.84,3.38,"3,415","10,015","24,787","5,750","4,089","2,489",51.6%,27.9%,
ZCTA5 95837,315,160,155,51.1,51.2,51.1,2.40,2.7,10,54,257,127,99,59,49.2%,17.1%,
ZCTA5 95838,"36,764","18,185","18,579",28.4,27.9,29,3.51,4,"3,466","11,931","22,807","5,846","4,041","2,729",50.5%,32.5%,
ZCTA5 95841,"19,448","9,347","10,101",33.1,31.9,34.4,2.41,3.05,"1,538","4,655","13,829","4,291","3,193","2,254",51.9%,23.9%,
ZCTA5 95842,"31,806","15,457","16,349",30.8,29.8,31.8,2.82,3.28,"2,825","8,900","21,386","5,552","3,879","2,611",51.4%,28.0%,
ZCTA5 95843,"45,048","21,869","23,179",31.4,30.3,32.4,3.23,3.59,"3,410","14,030","28,797","6,711","4,495","2,811",51.5%,31.1%,
ZCTA5 95864,"22,447","10,613","11,834",45.7,44.1,47,2.37,2.9,"1,180","4,882","16,991","7,863","6,085","4,526",52.7%,21.7%,
ZCTA5 95901,"31,314","15,660","15,654",32.3,31.4,33.3,2.78,3.33,"2,581","8,767","21,121","6,711","4,879","3,406",50.0%,28.0%,
ZCTA5 95903,"1,732",988,744,21.8,21.7,22.4,3.45,3.53,267,577,957,10,7,2,43.0%,33.3%,
ZCTA5 95910,86,48,38,51.3,52,51,2.10,2.5,5,13,72,31,23,13,44.2%,15.1%,
ZCTA5 95912,"4,685","2,413","2,272",31.8,30.6,32.8,3.27,3.63,410,"1,433","3,018",921,659,451,48.5%,30.6%,
ZCTA5 95914,578,290,288,48.9,49,48.8,2.50,2.85,31,110,448,230,160,104,49.8%,19.0%,
ZCTA5 95915,44,26,18,52.8,53.5,52.5,1.69,2.08,2,3,39,16,10,6,40.9%,6.8%,
ZCTA5 95916,"1,441",767,674,54.1,53.3,54.5,2.18,2.66,39,182,"1,210",676,481,343,46.8%,12.6%,
ZCTA5 95917,"3,155","1,576","1,579",37.2,35.9,38.4,2.97,3.35,203,860,"2,155",785,560,386,50.0%,27.3%,
ZCTA5 95918,"2,339","1,191","1,148",47.9,48.4,47.5,2.59,2.89,119,484,"1,780",864,646,418,49.1%,20.7%,
ZCTA5 95919,"1,378",692,686,50.3,47.5,52,2.35,2.8,68,261,"1,064",568,435,306,49.8%,18.9%,
ZCTA5 95920,274,155,119,34.8,33.9,39.5,2.69,3.37,14,76,184,66,46,31,43.4%,27.7%,
ZCTA5 95922,687,372,315,50.3,50,50.6,2.14,2.68,32,113,558,279,206,140,45.9%,16.4%,
ZCTA5 95923,58,37,21,47,46.5,47.5,2.07,2.93,1,12,44,21,17,13,36.2%,20.7%,
ZCTA5 95925,295,154,141,41.3,41.7,39.8,2.66,3.16,16,81,201,68,55,38,47.8%,27.5%,
ZCTA5 95926,"37,725","18,823","18,902",27.2,26.4,28.4,2.34,2.9,"1,912","6,543","25,980","7,757","5,724","3,999",50.1%,17.3%,
ZCTA5 95928,"36,511","18,308","18,203",29.4,28.2,30.8,2.43,2.99,"1,832","6,801","26,078","7,939","5,842","3,954",49.9%,18.6%,
ZCTA5 95930,69,37,32,50.5,50.5,51.5,1.86,2.26,4,9,60,32,27,13,46.4%,13.0%,
ZCTA5 95932,"7,718","3,879","3,839",35.4,34.7,36,2.71,3.26,664,"2,226","5,231","1,965","1,434",994,49.7%,28.8%,
ZCTA5 95934,274,138,136,52,48.5,54.3,2.14,2.61,16,52,220,125,86,55,49.6%,19.0%,
ZCTA5 95935,631,344,287,48.4,48,48.8,2.37,2.96,27,122,484,237,169,111,45.5%,19.3%,
ZCTA5 95936,352,186,166,57.2,57.6,56.6,1.86,2.48,12,41,302,192,148,103,47.2%,11.6%,
ZCTA5 95937,"1,491",713,778,43,43.1,42.6,2.80,3.33,100,369,"1,068",519,406,304,52.2%,24.7%,
ZCTA5 95938,"3,787","1,891","1,896",42.3,41.3,43,2.64,3.03,182,915,"2,719","1,115",781,475,50.1%,24.2%,
ZCTA5 95939,604,356,248,40.7,39,45.7,2.49,2.94,24,110,472,178,129,103,41.1%,18.2%,
ZCTA5 95941,563,293,270,54.3,54.4,54.3,2.16,2.61,18,78,478,271,204,148,48.0%,13.9%,
ZCTA5 95942,"1,301",657,644,50.6,51.7,49.7,2.23,2.61,64,217,"1,053",530,366,217,49.5%,16.7%,
ZCTA5 95943,879,463,416,37.3,37.2,37.7,2.67,3.27,57,241,599,234,179,136,47.3%,27.4%,
ZCTA5 95944,46,27,19,57,53.8,57.4,1.70,2.14,1,2,43,24,15,8,41.3%,4.3%,
ZCTA5 95945,"25,199","11,806","13,393",47.1,43.8,49.6,2.19,2.78,"1,224","4,841","19,465","9,664","7,454","5,426",53.1%,19.2%,
ZCTA5 95946,"9,790","4,772","5,018",52.7,51.7,53.5,2.37,2.7,365,"1,771","7,727","4,572","3,728","2,773",51.3%,18.1%,
ZCTA5 95947,"1,899",943,956,48.3,47.3,49.4,2.32,2.83,88,389,"1,441",726,540,365,50.3%,20.5%,
ZCTA5 95948,"10,810","5,361","5,449",35.2,33.9,36.6,2.93,3.43,836,"3,029","7,319","2,751","2,156","1,605",50.4%,28.0%,
ZCTA5 95949,"19,741","9,774","9,967",50.7,49.7,51.7,2.41,2.8,706,"3,622","15,490","8,351","6,354","4,429",50.5%,18.3%,
ZCTA5 95950,569,296,273,33.6,33.8,33.4,3.14,3.76,44,176,378,122,91,65,48.0%,30.9%,
ZCTA5 95951,"2,601","1,330","1,271",29.1,29.5,28.6,3.57,3.78,238,806,"1,665",459,321,212,48.9%,31.0%,
ZCTA5 95953,"10,718","5,159","5,559",33.9,33.4,34.4,3.26,3.72,806,"3,084","7,175","2,347","1,782","1,275",51.9%,28.8%,
ZCTA5 95954,"12,251","6,094","6,157",49.2,48.2,50.1,2.35,2.76,567,"2,353","9,508","4,929","3,915","2,852",50.3%,19.2%,
ZCTA5 95955,"1,517",796,721,36.6,34.1,38.4,2.85,3.41,110,453,"1,019",379,286,218,47.5%,29.9%,
ZCTA5 95956,401,206,195,52.5,53.1,52.3,2.04,2.61,10,58,334,180,124,78,48.6%,14.5%,
ZCTA5 95957,761,398,363,44.8,45,44.6,2.59,3.12,43,174,565,221,175,126,47.7%,22.9%,
ZCTA5 95959,"17,838","9,051","8,787",50.5,49.8,51.2,2.30,2.72,613,"3,091","14,274","7,373","5,398","3,389",49.3%,17.3%,
ZCTA5 95960,796,422,374,48,46,50,2.17,2.69,33,134,644,287,200,116,47.0%,16.8%,
ZCTA5 95961,"26,510","13,356","13,154",29.5,29.2,29.7,3.32,3.68,"2,645","8,763","16,606","4,094","2,905","1,897",49.6%,33.1%,
ZCTA5 95962,"1,567",799,768,49.9,50.4,49.5,2.31,2.77,63,291,"1,248",623,412,238,49.0%,18.6%,
ZCTA5 95963,"15,493","7,740","7,753",36.2,35.3,37,2.84,3.32,"1,181","4,345","10,511","3,918","2,914","2,103",50.0%,28.0%,
ZCTA5 95965,"20,384","10,303","10,081",34.8,33.5,36.2,2.73,3.26,"1,505","5,312","13,963","5,105","3,762","2,588",49.5%,26.1%,
ZCTA5 95966,"30,643","15,085","15,558",43.5,41.7,44.9,2.57,3.07,"1,840","6,965","22,469","10,490","8,211","5,955",50.8%,22.7%,
ZCTA5 95968,"1,412",719,693,35.9,36.2,35.8,2.88,3.29,102,381,965,359,262,190,49.1%,27.0%,
ZCTA5 95969,"27,549","13,122","14,427",50.4,48.5,52.2,2.18,2.73,"1,200","4,710","21,909","11,676","9,186","6,924",52.4%,17.1%,
ZCTA5 95970,530,277,253,45.2,46.7,42.8,2.48,2.91,25,120,392,165,125,81,47.7%,22.6%,
ZCTA5 95971,"5,970","2,949","3,021",45.5,44.5,46.5,2.20,2.73,270,"1,111","4,476","2,077","1,531","1,038",50.6%,18.6%,
ZCTA5 95973,"31,957","15,688","16,269",36.8,35.4,38.3,2.48,3.01,"2,067","7,679","23,071","8,146","5,865","4,112",50.9%,24.0%,
ZCTA5 95974,8,4,4,25,25.5,24,2.67,3,1,2,6,2,2,2,50.0%,25.0%,
ZCTA5 95975,"1,769",890,879,50.1,49.3,50.7,2.31,2.77,77,295,"1,424",709,524,332,49.7%,16.7%,
ZCTA5 95977,"1,678",839,839,42.4,42.6,42.3,2.63,3.02,87,384,"1,240",484,348,221,50.0%,22.9%,
ZCTA5 95978,143,72,71,34.5,31,40.5,2.60,3.03,15,35,98,47,36,25,49.7%,24.5%,
ZCTA5 95979,597,329,268,52,49.8,52.9,2.08,2.58,15,120,457,256,210,157,44.9%,20.1%,
ZCTA5 95981,97,48,49,50.8,53,42.5,2.06,2.73,8,22,73,38,32,20,50.5%,22.7%,
ZCTA5 95982,"3,221","1,654","1,567",40.1,38.7,41.1,2.81,3.13,199,854,"2,232",777,569,409,48.6%,26.5%,
ZCTA5 95983,428,217,211,52.7,52.9,52.6,1.99,2.48,8,61,358,196,139,102,49.3%,14.3%,
ZCTA5 95984,120,60,60,57.3,58.7,55.5,1.97,2.38,2,10,107,68,49,23,50.0%,8.3%,
ZCTA5 95986,162,96,66,52,50.5,53,1.85,2.5,3,19,136,66,44,31,40.7%,11.7%,
ZCTA5 95987,"5,992","3,130","2,862",29.8,28.8,31,3.48,3.89,589,"1,922","3,777","1,104",797,548,47.8%,32.1%,
ZCTA5 95988,"8,857","4,443","4,414",35.5,34.6,36.7,2.71,3.21,702,"2,443","6,070","2,285","1,692","1,227",49.8%,27.6%,
ZCTA5 95991,"40,593","20,052","20,541",31.7,30.6,33,2.90,3.43,"3,615","11,779","26,995","8,538","6,426","4,609",50.6%,29.0%,
ZCTA5 95993,"36,067","17,959","18,108",37.4,35.8,38.6,3.05,3.47,"2,290","9,419","25,079","9,216","7,013","5,048",50.2%,26.1%,
ZCTA5 96001,"33,865","16,735","17,130",42,40.4,43.8,2.41,2.92,"1,896","7,566","24,990","10,416","7,755","5,449",50.6%,22.3%,
ZCTA5 96002,"33,298","16,228","17,070",37.5,35.1,39.7,2.62,3.05,"2,260","8,205","23,627","9,404","7,306","5,463",51.3%,24.6%,
ZCTA5 96003,"44,461","21,557","22,904",40.7,38.7,42.5,2.40,2.88,"2,449","9,347","32,883","13,680","10,570","7,612",51.5%,21.0%,
ZCTA5 96006,557,272,285,48.2,47.6,48.9,2.29,2.84,29,119,431,215,173,113,51.2%,21.4%,
ZCTA5 96007,"22,841","11,196","11,645",40.6,38.7,42.5,2.56,3.02,"1,484","5,437","16,525","6,769","5,084","3,552",51.0%,23.8%,
ZCTA5 96008,"1,231",622,609,45.5,45.6,45.4,2.72,3.06,56,274,915,392,274,188,49.5%,22.3%,
ZCTA5 96009,569,295,274,44.6,44.6,44.7,2.42,2.84,24,126,423,186,135,101,48.2%,22.1%,
ZCTA5 96010,239,133,106,50.3,50.3,50.3,2.28,2.72,10,42,191,96,68,54,44.4%,17.6%,
ZCTA5 96011,218,118,100,47.8,49.3,44.8,1.90,2.76,14,39,168,72,58,32,45.9%,17.9%,
ZCTA5 96013,"4,212","2,064","2,148",44,42.6,45.5,2.38,2.87,286,974,"3,109","1,423","1,087",787,51.0%,23.1%,
ZCTA5 96014,211,112,99,52.4,52.3,52.5,2.15,2.52,10,34,173,88,71,48,46.9%,16.1%,
ZCTA5 96015,465,223,242,41.6,43.5,40,2.43,2.62,25,117,336,166,128,88,52.0%,25.2%,
ZCTA5 96016,366,191,175,58.8,58.1,60.2,2.26,2.55,19,55,302,201,173,122,47.8%,15.0%,
ZCTA5 96017,171,102,69,51.3,52.5,50.5,2.25,2.95,11,33,135,77,57,32,40.4%,19.3%,
ZCTA5 96019,"10,082","5,029","5,053",38.6,37,40.3,2.59,3.01,665,"2,465","7,238","2,755","2,041","1,434",50.1%,24.4%,
ZCTA5 96020,"2,416","1,223","1,193",47.8,46.9,48.7,2.23,2.71,112,478,"1,857",917,704,451,49.4%,19.8%,
ZCTA5 96021,"16,097","8,012","8,085",35.2,34,36.5,2.85,3.32,"1,332","4,646","10,772","4,028","3,095","2,199",50.2%,28.9%,
ZCTA5 96022,"15,768","7,830","7,938",42.2,41.2,43.1,2.68,3.01,887,"3,862","11,361","4,730","3,539","2,403",50.3%,24.5%,
ZCTA5 96023,"1,240",636,604,42.8,40.5,45.1,2.48,3,77,289,904,417,316,220,48.7%,23.3%,
ZCTA5 96024,"1,145",591,554,50.2,51.4,48.2,2.28,2.73,52,209,906,453,329,239,48.4%,18.3%,
ZCTA5 96025,"2,310","1,188","1,122",47.7,46,49.9,2.14,2.78,129,447,"1,798",874,659,424,48.6%,19.4%,
ZCTA5 96027,"2,227","1,144","1,083",50.1,48.8,51.5,2.32,2.8,118,472,"1,699",913,683,460,48.6%,21.2%,
ZCTA5 96028,"1,464",744,720,48.5,48.1,48.7,2.36,2.84,98,328,"1,093",599,485,353,49.2%,22.4%,
ZCTA5 96029,124,61,63,51.3,53.3,49.2,2.21,2.72,7,20,103,47,35,23,50.8%,16.1%,
ZCTA5 96031,158,92,66,54,55.5,52.3,1.95,2.57,4,20,135,73,54,29,41.8%,12.7%,
ZCTA5 96032,"2,407","1,250","1,157",45.7,44.1,48,2.35,2.81,108,495,"1,846",885,665,451,48.1%,20.6%,
ZCTA5 96033,432,224,208,50.6,50.6,50.7,2.32,2.72,21,76,344,175,130,87,48.1%,17.6%,
ZCTA5 96034,294,156,138,51.8,50,52.8,2.24,2.86,12,54,233,122,96,71,46.9%,18.4%,
ZCTA5 96035,"3,324","1,701","1,623",37.3,35.1,39.4,2.87,3.36,244,901,"2,266",829,634,434,48.8%,27.1%,
ZCTA5 96037,308,152,156,52.6,53.3,51.5,2.26,2.61,14,45,256,133,94,59,50.6%,14.6%,
ZCTA5 96038,589,301,288,46.9,43.9,49.3,2.35,2.93,41,125,446,218,184,142,48.9%,21.2%,
ZCTA5 96039,"1,251",642,609,47.6,47.4,48.2,2.25,2.8,71,243,963,463,341,210,48.7%,19.4%,
ZCTA5 96040,341,171,170,49.8,48.5,51.5,2.30,2.81,29,66,266,149,114,67,49.9%,19.4%,
ZCTA5 96041,"2,747","1,430","1,317",48.1,49.2,47.1,2.19,2.78,122,505,"2,157","1,032",756,515,47.9%,18.4%,
ZCTA5 96044,"1,022",515,507,52.4,52.1,52.8,2.15,2.71,42,171,827,465,362,272,49.6%,16.7%,
ZCTA5 96046,304,173,131,52.3,52.9,51.3,1.97,2.53,14,34,258,120,90,59,43.1%,11.2%,
ZCTA5 96047,"1,004",511,493,48.9,49.3,48.3,2.37,2.84,38,176,788,380,275,183,49.1%,17.5%,
ZCTA5 96048,736,374,362,53,53,53,2.23,2.66,28,110,603,329,246,160,49.2%,14.9%,
ZCTA5 96049,95,50,45,52.4,55.5,50.5,2.02,2.6,4,14,78,42,32,17,47.4%,14.7%,
ZCTA5 96050,414,214,200,55.6,56.8,54,1.98,2.53,12,44,357,215,160,106,48.3%,10.6%,
ZCTA5 96051,"1,139",594,545,56.5,56.4,56.7,2.01,2.48,26,112,"1,003",612,447,324,47.8%,9.8%,
ZCTA5 96052,"1,460",796,664,51.1,49.4,53,2.09,2.64,46,209,"1,220",636,491,321,45.5%,14.3%,
ZCTA5 96054,366,181,185,48.4,50.5,47.3,2.35,2.77,10,75,280,146,111,73,50.5%,20.5%,
ZCTA5 96055,"3,935","1,942","1,993",44.9,44.8,45,2.53,3.05,227,910,"2,917","1,336","1,047",754,50.6%,23.1%,
ZCTA5 96056,"1,642",845,797,50.2,49.9,50.5,2.37,2.76,68,317,"1,273",661,499,363,48.5%,19.3%,
ZCTA5 96057,"1,355",681,674,53.6,53,54.5,2.04,2.61,52,216,"1,105",643,502,361,49.7%,15.9%,
